0000582,0000583,0000597,0000596,0000200,0000579,0000578,0000575,20508701,20508801,failureTemp,0000588,timeof_692,timeof_578,timeof_591,time,timeof_672,cntrlvar_67,timeof_679
5058.78104869,23828.4718022,1.43060817104,28791.6526496,26922.7705984,22408.3215666,263.788399104,27248.8273176,24.4488178365,21429.6491739,1825.13114865,91.7363503834,-1.0,27187.0,-1.0,27186.6,27187.0,925.4,-1.0
18135.978225,21419.0988522,15908.7767947,1045.83952973,20514.988099,6825.39445188,2632.63860457,28337.0288848,259.877710218,18671.4352586,2104.15892035,3397.69135292,-1.0,23148.0,-1.0,23147.7,23148.0,1008.2,-1.0
12156.5061327,12698.5547186,21845.4797408,11564.0055786,27183.5693303,4991.14837082,15402.5907927,27575.7873338,86.2775359673,21536.5689489,2148.42064798,16858.9224284,-1.0,-1.0,-1.0,32174.8,32175.0,1014.9,32175.0
14819.2128828,14421.2775487,6718.07841594,25622.6559032,4164.59765904,5986.26072956,2059.43671994,2247.91231207,0.894178225281,17324.384868,2392.57728095,11268.4325003,-1.0,6224.0,-1.0,6224.08,6224.1,1004.3,-1.0
779.352369722,23946.3869246,7446.55034667,28349.3668789,753.777695638,23707.6076837,28746.9637661,1832.15016075,344.648331705,14432.6852473,2260.4113153,25766.8059794,17019.0,-1.0,-1.0,24461.5,24461.0,1051.6,24461.0
23532.4412388,27519.5756247,28089.9933258,12837.615733,8136.86583143,15951.1919552,17237.9751613,1134.0318862,164.798649428,18721.1796438,2187.47964115,8460.83134115,-1.0,-1.0,-1.0,24088.1,24088.0,1091.0,24088.0
14033.5684309,27589.1017497,10554.2903114,1847.76558032,2506.3514467,5966.91889892,16385.1958591,20074.9616818,307.937609203,19437.0374662,1965.54230415,24450.2106632,-1.0,-1.0,-1.0,8473.33,8473.3,1001.8,8473.3
26209.0689983,24036.4583167,695.69432942,8312.76233284,5893.15198827,16773.5978596,18500.8600103,15689.573579,271.444354087,17973.4184671,1932.58416603,27502.1395029,14405.0,-1.0,-1.0,19522.0,19522.0,751.11,-1.0
16117.0170811,26596.8040435,13459.6873575,26498.0246551,209.170931074,5682.66051259,11989.450102,12306.9698026,168.935554028,17727.0471636,2451.57345673,4801.30303918,-1.0,12199.0,-1.0,12198.7,12199.0,1018.6,-1.0
18419.0386961,28542.8218132,20619.5817399,11022.9516506,18361.6838086,265.58868051,2374.14627149,2162.40358231,221.783483943,21006.3300977,1846.6921415,3207.81355122,-1.0,-1.0,-1.0,18627.3,18627.0,1006.9,18627.0
23187.1432738,28709.0518501,16717.6305283,11500.3343695,25593.3417534,18447.411094,8140.24209102,5007.35946037,98.8660859546,14865.1880752,2326.39449768,7810.83438243,-1.0,33734.0,-1.0,33733.6,33734.0,1018.0,-1.0
28327.9837273,11811.1996833,23933.726918,4381.24344087,22706.9845942,19629.0359671,18281.5551311,2391.34649026,298.064649531,21546.8097207,2164.1006124,25705.277843,-1.0,40989.0,-1.0,40988.6,40989.0,990.93,-1.0
107.935953603,107.806589757,28588.3609788,20670.1493936,19270.1413395,14372.6209164,16318.510173,23514.3667047,21.3271803261,19025.0530522,2528.03225032,21149.542442,-1.0,-1.0,-1.0,29253.4,-1.0,2528.0,-1.0
26124.2900061,24364.7938571,21825.3758051,6670.82675954,22924.347079,14642.3000795,24280.749518,4164.10736548,96.4212458621,20361.0820627,1914.6581115,16387.7498164,-1.0,-1.0,-1.0,37566.7,37567.0,1003.2,37567.0
