angle,v0,r,ymax,age,batchId,fitness,iteration,accepted,conv_objective,ConstraintEvaluation_impConstr1
19.8246740212,139.451091501,1266.18720046,114.117872125,0.0,1.0,1266.18720046,0.0,first,0.0,135.882127875
23.589403466,122.406870737,1121.43188922,122.423643869,0.0,1.0,1121.43188922,0.0,first,0.0,127.576356131
49.2805583319,123.905397508,1549.1310034,449.948819651,0.0,1.0,276.659112823,0.0,first,0.0,-199.948819651
47.4881120498,107.898193472,1183.48355196,322.75194647,0.0,1.0,403.855986004,0.0,first,0.0,-72.7519464703
15.8304213944,118.007651872,745.869098602,52.871869341,0.0,1.0,745.869098602,0.0,first,0.0,197.128130659
66.2069389367,113.163338765,964.747334888,547.023170182,0.0,1.0,179.584762292,0.0,first,0.0,-297.023170182
31.108715503,133.493630815,1608.80069606,242.706107882,0.0,1.0,1608.80069606,0.0,first,0.0,7.29389211779
22.2542589757,118.371884741,1002.30187277,102.53487481,0.0,1.0,1002.30187277,0.0,first,0.0,147.46512519
31.3893653328,157.243542438,2243.58118764,342.229070258,0.0,1.0,384.378862216,0.0,first,0.0,-92.2290702585
27.1609474956,114.06390387,1078.42586402,138.32668556,0.0,1.0,1078.42586402,0.0,first,0.0,111.67331444
56.3469454207,145.655429595,1997.24321753,750.015522943,0.0,1.0,-23.4075904686,0.0,first,0.0,-500.015522943
61.7279463393,113.596263443,1098.57499163,510.665343129,0.0,1.0,215.942589345,0.0,first,0.0,-260.665343129
38.8801181768,164.574768328,2700.93760148,544.458720963,0.0,1.0,182.149211512,0.0,first,0.0,-294.458720963
53.1233099401,161.312351844,2549.23823345,849.536241424,0.0,1.0,-122.92830895,0.0,first,0.0,-599.536241424
27.1046257629,120.424475884,1200.3531863,153.593512831,0.0,1.0,1200.3531863,0.0,first,0.0,96.4064871693
61.9956486432,149.201562069,1883.38611715,885.37131008,0.0,1.0,-158.763377605,0.0,first,0.0,-635.37131008
65.5886992208,164.57187777,2080.13960345,1145.80980371,0.0,1.0,-419.201871234,0.0,first,0.0,-895.809803708
68.9387308769,157.185732738,1690.98757237,1097.78309795,0.0,1.0,-371.175165476,0.0,first,0.0,-847.78309795
51.5214369927,149.002055791,2207.02484719,694.185584069,0.0,1.0,32.4223484053,0.0,first,0.0,-444.185584069
30.8690138594,130.962171746,1541.48368233,230.356766317,0.0,1.0,1541.48368233,0.0,first,0.0,19.6432336831
61.7240760049,133.023904241,1506.60623589,700.222585924,0.0,1.0,26.3853465501,0.0,first,0.0,-450.222585924
48.7921025892,157.731318098,2516.48212183,718.438760127,0.0,1.0,8.16917234753,0.0,first,0.0,-468.438760127
25.753980675,136.728314815,1493.08045758,180.076097877,0.0,1.0,1493.08045758,0.0,first,0.0,69.9239021225
79.8856084037,152.222432497,817.557053737,1145.76776504,0.0,1.0,-419.159832561,0.0,first,0.0,-895.767765035
24.2638042428,157.495460682,1896.49282684,213.714356284,0.0,1.0,1896.49282684,0.0,first,0.0,36.2856437162
31.8114985774,116.102843409,1232.29418696,191.099297284,0.0,1.0,1232.29418696,0.0,first,0.0,58.9007027161
65.3994597076,134.509376067,1397.58796914,763.130206976,0.0,1.0,-36.5222745018,0.0,first,0.0,-513.130206976
12.251696104,130.379941375,719.413962341,39.0555958811,0.0,1.0,719.413962341,0.0,first,0.0,210.944404119
76.0879556628,136.662666734,889.54094313,897.807669355,0.0,1.0,-171.19973688,0.0,first,0.0,-647.807669355
14.4696125038,141.787702726,992.63636261,64.0379069331,0.0,1.0,992.63636261,0.0,first,0.0,185.962093067
9.70774918904,126.751388464,544.956244193,23.3067341757,0.0,1.0,544.956244193,0.0,first,0.0,226.693265824
73.1184316213,136.468197886,1056.14803022,870.054287347,0.0,1.0,-143.446354872,0.0,first,0.0,-620.054287347
13.871708086,105.014817194,523.849742771,32.3413065702,0.0,1.0,523.849742771,0.0,first,0.0,217.65869343
11.3388287477,139.603705718,766.733294239,38.4372143994,0.0,1.0,766.733294239,0.0,first,0.0,211.562785601
33.3795102752,148.035193793,2054.70784386,338.444045517,0.0,1.0,388.163886957,0.0,first,0.0,-88.4440455173
31.7600738319,121.393997902,1345.97082008,208.309831217,0.0,1.0,1345.97082008,0.0,first,0.0,41.6901687831
13.081313001,102.923260625,476.607932474,27.6865723175,0.0,1.0,476.607932474,0.0,first,0.0,222.313427683
81.5021090946,148.956532334,661.795450823,1107.32302016,0.0,1.0,-380.715087684,0.0,first,0.0,-857.323020158
15.5744762557,153.568678234,1244.77849055,86.7376826092,0.0,1.0,1244.77849055,0.0,first,0.0,163.262317391
73.9389764492,148.982064372,1204.28306161,1045.75361987,0.0,1.0,-319.145687396,0.0,first,0.0,-795.75361987
35.7007345442,141.214631016,1928.58725316,346.46700468,0.0,1.0,380.140927794,0.0,first,0.0,-96.4670046805
57.9946119462,140.108164225,1800.53192399,720.212634067,0.0,1.0,6.39529840707,0.0,first,0.0,-470.212634067
74.7323596081,119.268060021,737.470725344,675.433293638,0.0,1.0,51.1746388364,0.0,first,0.0,-425.433293638
43.1913957275,113.579744246,1313.7406659,308.328347375,0.0,1.0,418.2795851,0.0,first,0.0,-58.328347375
56.3663183086,149.301253259,2097.8844914,788.386625287,0.0,1.0,-61.7786928127,0.0,first,0.0,-538.386625287
43.9834707321,118.163082816,1423.84949774,343.550467293,0.0,1.0,383.057465181,0.0,first,0.0,-93.5504672933
67.9822150392,114.262651893,926.04654884,572.49970574,0.0,1.0,154.108226734,0.0,first,0.0,-322.49970574
74.1244744857,114.14404739,699.609453581,614.996451538,0.0,1.0,111.611480936,0.0,first,0.0,-364.996451538
81.8287842527,143.491997945,591.178395833,1029.28608865,0.0,1.0,-302.678156178,0.0,first,0.0,-779.286088652
48.4334577721,117.986848822,1410.30975542,397.584912087,0.0,1.0,329.023020388,0.0,first,0.0,-147.584912087
15.8304213944,157.495460682,1328.55139356,94.1760368205,0.0,2.0,1328.55139356,1.0,accepted,0.0,155.823963179
24.2638042428,118.007651872,1064.72011705,119.982512571,0.0,2.0,1064.72011705,1.0,accepted,0.0,130.017487429
21.1646255888,109.47661872,823.537456288,79.7110802128,0.0,2.0,823.537456288,1.0,accepted,0.0,170.288919787
25.580173568,160.483915175,2047.01463967,244.97357062,0.0,2.0,2047.01463967,1.0,accepted,0.0,5.02642938049
15.8304213944,140.108164225,1051.40288056,74.5300158299,0.0,2.0,1051.40288056,1.0,accepted,0.0,175.46998417
