time,x,y,z
0.0,3.24618032038,4.14168011165,3.27502752128
0.005,3.35030204247,4.06307067453,3.19419664559
0.01,3.51547949756,4.64470685254,3.43061075188
0.015,3.7586671252,5.07605318218,3.73834221864
0.02,3.86295688048,5.66888416873,3.7944604255
0.025,4.00995342205,6.23649210923,3.88228566017
0.03,4.19559597219,6.8737764166,3.98585748955
0.035,4.43042795914,7.5199468636,4.14210211377
0.04,4.69008468066,8.10895135959,4.32933157081
0.045,5.0152557441,8.85922937005,4.67713569775
0.05,5.40674595804,9.73295374266,4.96304829566
0.055,5.76972473775,10.5529255993,5.2870390622
0.06,6.13231751299,11.3579677461,5.61937711117
0.065,6.42708170932,12.0141448931,5.92871116753
0.07,6.62482234094,12.3948062986,6.18863275872
0.075,6.823437138,12.8081437701,6.41603355715
0.08,7.11262164475,13.4362505774,6.77613978215
0.085,7.45040083752,14.1596934369,7.19926812173
0.09,7.76022303859,14.8010149172,7.60173220024
0.095,8.12874301408,15.5417391689,8.10908090583
0.1,8.51696761045,16.2944386945,8.67339316745
0.105,8.85456929318,16.9347736234,9.17693095804
0.11,9.19982478721,17.5769612818,9.70381707682
0.115,9.61868161194,18.3240921898,10.3918796786
0.12,10.0539521408,19.0717107854,11.1439858051
0.125,10.5048400731,19.8149963541,11.9639506867
0.13,10.9703478871,20.5482858692,12.8553737558
0.135,11.5722201555,21.3534447088,14.1760223287
0.14,11.9400338404,21.9577377657,14.8651534046
0.145,12.4409190367,22.6180022579,15.9884159095
0.15,12.9497731978,23.2364694374,17.1925969626
0.155,13.4641080097,23.8029017141,18.4779522305
0.16,13.981047695,24.3062571449,19.8434824513
0.165,14.4973081675,24.734820598,21.286710508
0.17,15.009183789,25.0763894663,22.8034617682
0.175,15.5125440729,25.3185190806,24.3876599474
0.18,16.0028428232,25.4488304412,26.0311534134
0.185,16.4751422041,25.4553792677,27.7235890947
0.19,16.9241540573,25.3270806764,29.4523525814
0.195,17.3443003883,25.0541781654,31.2025931754
0.2,17.7297942771,24.628739356,32.9573510961
0.205,18.0747415311,24.0451546304,34.6978004291
0.21,18.373262186,23.3006091452,36.4036155024
0.215,18.619629534,22.3954945446,38.0534602607
0.22,18.8084227845,21.3337249443,39.6255902818
0.225,18.9346878925,20.1229232027,41.0985461123
0.23,18.994099658,18.7744486553,42.4519057228
0.235,18.9831171079,17.3032464651,43.6670544592
0.24,18.8991235757,15.7275110709,44.7279243166
0.245,18.7405429505,14.0681708789,45.6216519529
0.25,18.5069243469,12.3482168021,46.3391074091
0.255,18.1989889697,10.5919116651,46.8752532206
0.26,17.8186351045,8.82392898933,47.2293059549
0.265,17.3688997987,7.06847665429,47.4046879287
0.27,16.8538786415,5.34846238018,47.4087741324
0.275,16.2786078284,3.68475365805,47.2524561194
0.28,15.6489151199,2.09557523704,46.9495587838
0.285,14.9712481258,0.596073886615,46.5161559242
0.29,14.2524894138,-0.801935318329,45.9698353105
0.295,13.4997681772,-2.09004251518,45.3289634559
0.3,12.7202776426,-3.26315156047,44.6119950079
0.305,11.9211061824,-4.31924947344,43.8368627652
0.31,11.1090883996,-5.25906963083,43.0204732819
0.315,10.2906804981,-6.0856843336,42.1783213923
0.32,9.47186225652,-6.80406149712,41.3242261286
0.325,8.65806606884,-7.42061644959,40.470181432
0.33,7.85413194292,-7.94278413696,39.6263083579
0.335,7.06428613892,-8.37863042529,38.8008913192
0.34,6.29214031071,-8.7365145338,38.0004791222
0.345,5.54070756848,-9.02480858632,37.230031733
0.35,4.81243176074,-9.25167525253,36.49309534
0.355,4.10922641008,-9.42490065303,35.7919908137
0.36,3.43252005693,-9.55177712752,35.1280036337
0.365,2.7833051977,-9.63902898817,34.5015663639
0.37,2.16218848841,-9.69277380101,33.9124275426
0.375,1.56944037394,-9.71851183354,33.3598032578
0.38,1.00504276356,-9.72113685816,32.8425096167
0.385,0.468733782478,-9.70496232291,32.3590757933
0.39,-0.0399510227914,-9.67375784283,31.9078383864
0.395,-0.521641363794,-9.63079192009,31.4870185048
0.4,-0.977098891608,-9.57887769662,31.0947833831
0.405,-1.40718783186,-9.52041933765,30.7292945029
0.41,-1.81284940715,-9.45745731935,30.3887442003
0.415,-2.19507980276,-9.39171144621,30.0713826443
0.42,-2.55491138493,-9.32462086059,29.7755369088
0.425,-2.89339685871,-9.25738064135,29.4996236665
0.43,-3.21159604785,-9.19097483578,29.2421568266
0.435,-3.51056498724,-9.12620594521,29.0017512397
0.44,-3.79134703514,-9.06372100395,28.7771234047
0.445,-4.05496573358,-9.00403446706,28.5670899456
0.45,-4.30241917026,-8.94754816498,28.3705644777
0.455,-4.53467561999,-8.89456860261,28.1865533583
0.46,-4.75267026912,-8.84532188211,28.0141507103
0.465,-4.95730284977,-8.79996652031,27.8525330181
0.47,-5.1494360333,-8.75860441518,27.7009535253
0.475,-5.32989445239,-8.72129019579,27.5587366041
0.48,-5.49946423956,-8.68803916836,27.4252722209
0.485,-5.658892986,-8.65883404837,27.3000105849
0.49,-5.80889003912,-8.63363064723,27.1824570388
0.495,-5.95012706953,-8.61236266138,27.0721672287
